"","year","month","mean.ice"
"201","2020","Jan",0.154324720260104
"202","2020","Feb",0.251982637394194
"203","2020","Mar",0.246475818130315
"204","2020","Apr",0.0784285849580871
"205","2021","Jan",0.092580828859185
"206","2021","Feb",0.0971993249229361
"207","2021","Mar",0.132379613625987
"208","2021","Apr",0.0771370627784517
"209","2022","Jan",0.263451600293747
"210","2022","Feb",0.237804666271489
"211","2022","Mar",0.117772424442821
"212","2022","Apr",0.0346660531694235
"213","2023","Jan",0.113040289632307
"214","2023","Feb",0.131232290517692
"215","2023","Mar",0.134444651949651
"216","2023","Apr",0.107927477429024
